unit,party,seats
de.bund,cdu,193
de.bund,csu,49
de.bund,fdp,30
de.bund,spd,224
de.bund.land.01,cdu,10
de.bund.land.01,fdp,1
de.bund.land.01,spd,10
de.bund.land.02,cdu,6
de.bund.land.02,fdp,1
de.bund.land.02,spd,10
de.bund.land.03,cdu,30
de.bund.land.03,fdp,4
de.bund.land.03,spd,29
de.bund.land.04,cdu,2
de.bund.land.04,spd,3
de.bund.land.05,cdu,69
de.bund.land.05,fdp,9
de.bund.land.05,spd,73
de.bund.land.06,cdu,19
de.bund.land.06,fdp,3
de.bund.land.06,spd,24
de.bund.land.07,cdu,16
de.bund.land.07,fdp,2
de.bund.land.07,spd,13
de.bund.land.08,cdu,37
de.bund.land.08,fdp,6
de.bund.land.08,spd,27
de.bund.land.09,csu,49
de.bund.land.09,fdp,4
de.bund.land.09,spd,31
de.bund.land.10,cdu,4
de.bund.land.10,spd,4
